version,1,startTime,2025-12-21 15:31:35.322,screenWidth,1920,screenHeight,1080
Event,MsgID,Time,X,Y,MouseData
494,516,538765578,280,516,0
495,512,538765578,280,516,0
496,512,538765593,281,516,0
497,512,538765656,281,515,0
498,512,538765671,281,514,0
499,512,538765671,281,512,0
500,512,538765687,280,510,0
501,512,538765687,278,507,0
502,512,538765703,276,504,0
503,512,538765703,274,498,0
504,512,538765718,272,493,0
505,512,538765718,269,486,0
506,512,538765734,266,480,0
507,512,538765734,263,473,0
508,512,538765750,258,466,0
509,512,538765750,254,457,0
510,512,538765765,249,450,0
511,512,538765765,245,443,0
512,512,538765781,240,434,0
513,512,538765781,236,427,0
514,512,538765796,232,421,0
515,512,538765796,229,415,0
516,512,538765812,228,411,0
517,512,538765812,225,405,0
518,512,538765828,223,400,0
519,512,538765828,221,397,0
520,512,538765843,219,392,0
521,512,538765843,218,389,0
522,512,538765859,216,387,0
523,512,538765859,215,384,0
524,512,538765875,214,381,0
525,512,538765875,212,379,0
526,512,538765890,212,377,0
527,512,538765906,211,376,0
528,512,538765906,210,374,0
529,512,538765921,210,373,0
530,512,538765921,210,372,0
531,512,538765937,209,371,0
532,512,538765937,208,370,0
533,512,538765953,208,368,0
534,512,538765953,207,366,0
535,512,538765968,206,364,0
536,512,538765968,205,362,0
537,512,538765984,204,360,0
538,512,538765984,203,358,0
539,512,538766000,202,356,0
540,512,538766000,201,354,0
541,512,538766015,200,352,0
542,512,538766015,200,351,0
543,512,538766031,200,350,0
544,512,538766031,199,349,0
545,512,538766046,199,349,0
546,512,538766046,199,348,0
547,517,538766109,199,348,0

