version,1,startTime,2026-01-09 00:46:48.903,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,101,710750,d,1c,80
1,100,714265,44,20,0
2,100,714421,41,1e,0
3,101,714421,44,20,80
4,100,714437,53,1f,0
5,100,714437,8,e,10
6,101,714437,8,e,90
7,100,714437,e7,e1,10
8,101,714437,e7,e1,90
9,101,714609,41,1e,80
10,100,714687,44,20,0
11,100,714687,8,e,10
12,101,714687,8,e,90
13,100,714687,8,e,10
14,101,714687,8,e,90
15,100,714687,e7,111,10
16,101,714687,e7,111,90
17,100,714687,e7,e1,10
18,101,714687,e7,e1,90
19,101,714687,53,1f,80
20,100,714875,41,1e,0
21,100,714875,8,e,10
22,101,714875,8,e,90
23,100,714875,e7,1ea5,10
24,101,714875,e7,1ea5,90
25,101,714890,44,20,80
26,100,714906,53,1f,0
27,100,714906,8,e,10
28,101,714906,8,e,90
29,100,714906,e7,e2,10
30,101,714906,e7,e2,90
31,100,714906,e7,73,10
32,101,714906,e7,73,90
33,101,715031,41,1e,80
34,100,715078,44,20,0
35,101,715093,53,1f,80
36,101,715234,44,20,80
37,100,718265,d,1c,0
38,101,718390,d,1c,80
39,100,718968,d,1c,0
40,101,719125,d,1c,80
41,100,719937,d,1c,0
42,101,720046,d,1c,80
43,100,723828,d,1c,0
44,101,723984,d,1c,80
45,100,724906,44,20,0
46,100,725109,41,1e,0
47,101,725140,44,20,80
48,101,725359,41,1e,80
49,100,725640,d,1c,0
50,101,725781,d,1c,80
51,100,729984,43,2e,0
52,101,730109,43,2e,80
53,100,730125,4f,18,0
54,101,730203,4f,18,80
55,100,730359,20,39,0
56,101,730468,20,39,80
57,100,730500,43,2e,0
58,100,730640,4f,18,0
59,101,730656,43,2e,80
60,101,730734,4f,18,80
61,100,730875,4e,31,0
62,101,730953,4e,31,80
63,100,731062,20,39,0
64,101,731171,20,39,80
65,100,731343,43,2e,0
66,101,731421,43,2e,80
67,100,731500,41,1e,0
68,101,731640,41,1e,80
69,100,731703,20,39,0
70,101,731828,20,39,80
71,100,732031,54,14,0
72,101,732109,54,14,80
73,100,732312,4f,18,0
74,101,732390,4f,18,80
75,100,732546,20,39,0
76,101,732656,20,39,80
77,100,732750,56,2f,0
78,100,732796,41,1e,0
79,101,732843,56,2f,80
80,101,732953,41,1e,80
81,100,733312,20,39,0
82,101,733421,20,39,80
83,100,733515,43,2e,0
84,101,733625,43,2e,80
85,100,733640,4f,18,0
86,101,733718,4f,18,80
87,100,733859,4e,31,0
88,101,733953,4e,31,80
89,100,734046,20,39,0
90,101,734156,20,39,80
91,100,734187,43,2e,0
92,100,734328,41,1e,0
93,101,734359,43,2e,80
94,101,734437,41,1e,80
95,100,734546,20,39,0
96,101,734640,20,39,80
97,100,734859,42,30,0
98,101,734968,42,30,80
99,100,735078,45,12,0
100,101,735171,45,12,80
101,100,738937,8,e,0
102,100,739406,8,e,0
103,100,739453,8,e,0
104,100,739484,8,e,0
105,100,739500,8,e,0
106,100,739531,8,e,0
107,100,739562,8,e,0
108,100,739593,8,e,0
109,100,739609,8,e,0
110,100,739656,8,e,0
111,100,739687,8,e,0
112,100,739718,8,e,0
113,100,739750,8,e,0
114,100,739765,8,e,0
115,100,739796,8,e,0
116,101,739796,8,e,80
117,100,741390,8,e,0
118,101,741468,8,e,80
119,100,741562,8,e,0
120,101,741625,8,e,80
121,100,741734,8,e,0
122,101,741828,8,e,80
123,100,741937,8,e,0
124,101,742000,8,e,80
125,100,742515,20,39,0
126,101,742609,20,39,80
127,100,742765,43,2e,0
128,101,742843,43,2e,80
129,100,742890,41,1e,0
130,101,743000,41,1e,80
131,100,745656,d,1c,0
132,101,745734,d,1c,80
133,100,766875,32,3,0
134,101,766984,32,3,80
135,100,767031,d,1c,0
